factory,target,unit,category1,category2,intensity_per_kg,ci_lo,ci_hi,share_of_kg,r2_model,intercept,samples
남양주,전력,kWh,냉동,IC,0.3807077317413842,0.3627277881985267,0.3968480948146921,0.2921411969642666,0.8527357643032027,51915.48304795492,822
남양주,전력,kWh,냉장,FM,0.1183872390133239,0.05633367594149074,0.17634148737957697,0.13347101377282966,0.8527357643032027,51915.48304795492,822
남양주,전력,kWh,냉장,MY,0.0605403907059507,0.04418494386529776,0.0795222596866743,0.5743877892629038,0.8527357643032027,51915.48304795492,822
남양주,연료,Nm³,냉동,IC,0.004537132314373472,0.002654556865208323,0.006740628145517493,0.2921411969642666,0.7219363772696847,3728.6258995938833,822
남양주,연료,Nm³,냉장,FM,0.04365268700332416,0.037284581652555666,0.05009390199922535,0.13347101377282966,0.7219363772696847,3728.6258995938833,822
남양주,연료,Nm³,냉장,MY,0.0060775345282269595,0.003985273265163525,0.00809116342058619,0.5743877892629038,0.7219363772696847,3728.6258995938833,822
남양주,용수,ton,냉동,IC,0.0027541112314120072,0.0023452113733202543,0.003178450104462103,0.2921411969642666,0.8355789265585181,651.0803351163302,822
남양주,용수,ton,냉장,FM,0.007213332146726018,0.00594983070579361,0.00822295881384249,0.13347101377282966,0.8355789265585181,651.0803351163302,822
남양주,용수,ton,냉장,MY,0.00153176005877091,0.0011634446882942866,0.0018698294761585374,0.5743877892629038,0.8355789265585181,651.0803351163302,822
김해,전력,kWh,냉동,IC,0.3012044404055826,0.27906491626980157,0.32324866035103417,0.2711779673153563,0.8001088623199164,27685.540242068724,729
김해,전력,kWh,냉장,FM,0.1086867645166321,0.06495197587090408,0.17386585044969544,0.08091260968134108,0.8001088623199164,27685.540242068724,729
김해,전력,kWh,냉장,MY,0.028084071017907983,0.017921915987393924,0.03834554004579169,0.6464615811459612,0.8001088623199164,27685.540242068724,729
김해,전력,kWh,상온,MY,-0.20071817993055305,-0.37722152907141865,-0.07717210566243153,0.0014478418573413672,0.8001088623199164,27685.540242068724,729
김해,연료,Nm³,냉동,IC,0.01881937167591224,0.0162768216914574,0.021027503658606887,0.2711779673153563,0.7573026266855449,1565.260736053589,729
김해,연료,Nm³,냉장,FM,-0.0005095591133838659,-0.006236065506919505,0.004970936329488827,0.08091260968134108,0.7573026266855449,1565.260736053589,729
김해,연료,Nm³,냉장,MY,0.005798030666669411,0.0049516529622031956,0.006564565298852038,0.6464615811459612,0.7573026266855449,1565.260736053589,729
김해,연료,Nm³,상온,MY,0.030459557153051865,0.01902840100924488,0.04531592404368029,0.0014478418573413672,0.7573026266855449,1565.260736053589,729
김해,용수,ton,냉동,IC,0.00725011391354844,0.006581137604744637,0.007886015135750808,0.2711779673153563,0.8486193500513208,262.24156333173175,729
김해,용수,ton,냉장,FM,0.0004634633093998365,-0.0008644541842029672,0.0019348644090124156,0.08091260968134108,0.8486193500513208,262.24156333173175,729
김해,용수,ton,냉장,MY,0.0017793874871755478,0.0015328064534845087,0.0020457610630379994,0.6464615811459612,0.8486193500513208,262.24156333173175,729
김해,용수,ton,상온,MY,-0.005465865933721663,-0.008515703829683242,-0.0037304310247084247,0.0014478418573413672,0.8486193500513208,262.24156333173175,729
광주,전력,kWh,냉장,FM,0.22767482457274152,0.2045361837924081,0.25005822345974954,0.8847971134155498,0.6410823751817858,22624.342935235974,667
광주,전력,kWh,상온,SN,0.6688013126717812,0.5047012797600499,0.8271023337194134,0.11520288658445017,0.6410823751817858,22624.342935235974,667
광주,연료,Nm³,냉장,FM,0.03827205132565824,0.031222733138470887,0.046054436353544156,0.8847971134155498,0.23585140091842505,3192.7272231991888,667
광주,연료,Nm³,상온,SN,0.05820176383700331,0.020169887448042777,0.11278694485341544,0.11520288658445017,0.23585140091842505,3192.7272231991888,667
광주,용수,ton,냉장,FM,0.0033546432849651834,0.002697066015225742,0.003969479321072614,0.8847971134155498,0.2620898268334806,357.8449342427984,667
광주,용수,ton,상온,SN,0.007362077460249446,0.003175496810366228,0.012976455051572498,0.11520288658445017,0.2620898268334806,357.8449342427984,667
논산,전력,kWh,냉동,IC,0.28812662664574923,0.2785419319971373,0.2978797807071868,0.5661538013736478,0.8847247996894012,22329.925153401964,704
논산,전력,kWh,냉장,MY,0.08542620255741336,0.06991985209892548,0.10150783137424248,0.43384619862635226,0.8847247996894012,22329.925153401964,704
논산,연료,Nm³,냉동,IC,0.004379995519639692,0.0038681238553386833,0.004794350511095325,0.5661538013736478,0.7553473685921144,930.0866328260053,704
논산,연료,Nm³,냉장,MY,0.011245775810814821,0.01042391774564291,0.01210158377483421,0.43384619862635226,0.7553473685921144,930.0866328260053,704
논산,용수,ton,냉동,IC,0.003238201270270548,0.002992699500499023,0.003438416620796945,0.5661538013736478,0.7059705754012435,269.67713572055084,704
논산,용수,ton,냉장,MY,0.0027145431053549884,0.0023707134071218605,0.003037102253354699,0.43384619862635226,0.7059705754012435,269.67713572055084,704
