date,target,actual,mix_ton,p05,p50,p95,band,over_ratio
2026-05-04,전력,55260.0,220.873,42225.224827834136,49820.59023428086,58007.563976550555,inside,-0.04736561558870585
2026-05-06,전력,69600.0,432.783,62396.13665305248,64749.21997382559,68774.7651281074,over,0.011999094004253164
2026-05-07,전력,73740.0,470.715,64244.291997604916,66395.91226529586,72154.63441188281,over,0.02197177771101146
2026-05-08,전력,67680.0,451.174,61652.98718585411,64679.184329736636,71932.21894724914,inside,-0.05911424684907151
2026-05-11,전력,54240.0,213.872,43531.33353935207,50332.37494859399,60014.114569159516,inside,-0.0962126094938133
2026-05-12,전력,78720.0,456.834,64130.87730371339,65954.05038652409,69051.57309236687,over,0.14001747497772643
2026-05-13,전력,71760.0,415.912,64415.527351473596,67097.0258767654,73007.81624842041,inside,-0.017091543242089578
2026-05-14,전력,74580.0,415.524,63977.47164501811,66653.90205145278,71621.60822355845,over,0.041305855171630323
2026-05-15,전력,70860.0,421.98,64223.06438646119,68214.64753524821,71494.21085365815,inside,-0.00887080011214223
2026-05-18,전력,73560.0,213.21,45729.7743882093,55073.270320113326,62240.99960657185,over,0.18185762543943795
2026-05-19,전력,76140.0,433.773,66332.56742770385,71269.51093721483,76156.12817621503,inside,-0.0002117777859939724
2026-05-20,전력,76560.0,449.171,64919.56419772043,70833.85100011197,73474.96356076511,over,0.04198758719605904
2026-05-21,전력,77880.0,477.499,66574.39603056021,68913.28533958351,74165.54495394389,over,0.05008329741745654
2026-05-22,전력,75240.0,279.26,57179.02907766343,59818.31864498082,65824.50768937156,over,0.14303931227348513
2026-05-04,연료,4400.0,220.873,3134.804411565154,3768.8107915602905,4506.132080112995,inside,-0.02355281164113895
2026-05-06,연료,6611.0,432.783,4459.451907894847,4703.452418942065,4996.99735987075,over,0.32299449527245633
2026-05-07,연료,5971.0,470.715,4588.31744869692,4968.2487120558735,5392.003789561754,over,0.1073805273577719
2026-05-08,연료,6193.0,451.174,4501.290564518113,4766.974894859237,5083.71314487824,over,0.21820406138362639
2026-05-11,연료,4208.0,213.872,3086.834055378146,3788.241791057302,4868.939117069011,inside,-0.13574602211639103
2026-05-12,연료,5613.0,456.834,4484.890751630195,4708.056226056732,4951.800929956275,over,0.13352698935123872
2026-05-13,연료,5472.0,415.912,4702.248415678033,4925.877161376062,5318.232759046225,over,0.02891322135012235
2026-05-14,연료,5423.0,415.524,4667.142524794283,4948.114275008544,5337.240091923733,over,0.01606821252168096
2026-05-15,연료,4685.0,421.98,4517.866405352913,4726.107707089036,5060.176614876668,inside,-0.07414298816639475
2026-05-18,연료,4403.0,213.21,2960.04944943099,3615.241065368838,4381.526258426561,over,0.004900972927445221
2026-05-19,연료,6040.0,433.773,4481.777077361621,4628.10927942145,4967.4237122690365,over,0.21592204528109973
2026-05-20,연료,5597.0,449.171,4618.81816734334,4891.28988229875,5341.684243357684,over,0.04779686424928578
2026-05-21,연료,5563.0,477.499,4645.992655047947,4912.714843346507,5328.953138227575,over,0.043919857371886965
2026-05-22,연료,5074.0,279.26,3969.4355489134387,4163.803123510945,4900.386557519075,over,0.03542851986126186
2026-05-04,용수,1097.0,220.873,703.9041378329631,874.5178560019501,1185.9081487730891,inside,-0.07497051847149483
2026-05-06,용수,1505.0,432.783,1337.1953846984882,1444.4370520771813,1485.8496828070136,over,0.012888462012394391
2026-05-07,용수,1659.0,470.715,1375.763062557097,1490.6972032724648,1513.303412507723,over,0.09627718162006957
2026-05-08,용수,1510.0,451.174,1380.6169661638448,1415.1015989973885,1550.5356718242153,inside,-0.026143011451342398
2026-05-11,용수,1040.0,213.872,709.0767740196119,903.7030157307743,1224.4962767859888,inside,-0.15067116191667615
2026-05-12,용수,1655.0,456.834,1349.8691900144768,1484.7398264080668,1502.770019261648,over,0.10129958595603784
2026-05-13,용수,1512.0,415.912,1457.331911313133,1554.774580482545,1612.3463410438203,inside,-0.06223621965666314
2026-05-14,용수,1554.0,415.524,1380.7797305200427,1494.503099236838,1544.5081758857568,over,0.0061455318025750985
2026-05-15,용수,1357.0,421.98,1329.6554452018577,1414.4575396416242,1509.0432621226175,inside,-0.10075474039674234
2026-05-18,용수,983.0,213.21,752.4915392950551,952.562414349564,1186.5089766428387,inside,-0.171519120924526
2026-05-19,용수,1560.0,433.773,1334.045591359009,1418.1339052252158,1541.2478543259838,over,0.012166859224739606
2026-05-20,용수,1379.0,449.171,1437.0812966741685,1527.5038541730926,1581.3608348423331,under,-0.1279662619584917
2026-05-21,용수,1454.0,477.499,1383.4587698107632,1484.7968361747023,1515.3808945896253,inside,-0.04050525832071259
2026-05-22,용수,1293.0,279.26,1086.172888282398,1153.3836782301673,1267.0624882733916,over,0.020470586073424876
