item_code,item_name,normal_mean,normal_max,nz_normal_days,v_0512,z_0512,r_0512,v_0518,z_0518,r_0518,v_0522,z_0522,r_0522
220032,욥닥터병,121463.1,252310.0,35,181430.0,0.69,1.49,94290.0,-0.31,0.78,0.0,-1.4,0.0
220067,바나나병(상),209102.0,352000.0,35,242000.0,0.23,1.16,330000.0,0.83,1.58,0.0,-1.44,0.0
220068,바나나병(하),236465.3,387200.0,35,352000.0,0.75,1.49,352000.0,0.75,1.49,0.0,-1.53,0.0
220170,메론병(상)중국,6285.7,110000.0,3,0.0,-0.25,0.0,0.0,-0.25,0.0,0.0,-0.25,0.0
260015,농축유,3693.5,12641.5,19,0.0,-0.79,0.0,8798.0,1.09,2.38,0.0,-0.79,0.0
260353,메로나병(상),16612.2,110000.0,9,110000.0,2.58,6.62,0.0,-0.46,0.0,0.0,-0.46,0.0
210014,쿠앤크바믹스,0.3,7.3,3,0.0,-0.25,0.0,0.0,-0.25,0.0,0.0,-0.25,0.0
210057,그라시아쿠키앤크림믹스,0.6,7.7,4,0.0,-0.3,0.0,0.0,-0.3,0.0,0.0,-0.3,0.0
210112,바나나바믹스,0.3,8.4,2,0.0,-0.2,0.0,0.0,-0.2,0.0,0.0,-0.2,0.0
210304,참붕어싸만코(수출용)믹스,1.1,6.8,13,0.0,-0.55,0.0,4.0,1.5,3.74,0.0,-0.55,0.0
210405,V메로나믹스,0.8,12.1,5,0.0,-0.32,0.0,0.0,-0.32,0.0,0.0,-0.32,0.0
210417,C투대 클래식 기본믹스,3.3,9.8,19,0.0,-0.79,0.0,7.8,1.09,2.38,0.0,-0.79,0.0
210637,E참붕어싸만코 녹차 멀티 믹스,0.4,5.4,5,0.0,-0.33,0.0,0.0,-0.33,0.0,0.0,-0.33,0.0
213137,떡붕어싸만코 믹스,3.0,8.0,27,6.4,1.09,2.11,2.6,-0.13,0.87,0.0,-0.99,0.0
213364,E메론맛바 미국(N) 믹스,2.9,18.5,11,15.4,2.21,5.26,0.0,-0.52,0.0,0.0,-0.52,0.0
213365,E망고맛바 미국(N) 믹스,2.8,18.1,11,14.9,2.21,5.27,0.0,-0.52,0.0,0.0,-0.52,0.0
213419,E메로나 우베믹스,0.1,5.2,1,0.0,-0.14,0.0,0.0,-0.14,0.0,0.0,-0.14,0.0
213524,메로나 피나콜라다 믹스,0.1,4.8,1,0.0,-0.14,0.0,0.0,-0.14,0.0,0.0,-0.14,0.0
219080,쿠앤크 티라미수 믹스(신),0.3,13.1,1,0.0,-0.14,0.0,0.0,-0.14,0.0,0.0,-0.14,0.0
219081,메론맛바_미국 코스트코(반제품),1217.5,6839.2,12,5971.0,2.11,4.9,0.0,-0.54,0.0,0.0,-0.54,0.0
219082,망고맛바_미국 코스트코(반제품),1219.7,6731.2,12,5814.0,2.04,4.77,0.0,-0.54,0.0,0.0,-0.54,0.0
219084,E메로나 코코넛(HALAL) 믹스,0.0,0.0,0,0.0,0.0,0.0,13.5,,,0.0,0.0,0.0
219086,E메로나 망고(HALAL) 믹스,0.2,4.4,2,0.0,-0.21,0.0,4.4,4.79,24.23,0.0,-0.21,0.0
219092,E메로나(AU) 믹스_호주유럽(P),3.7,26.8,13,0.0,-0.53,0.0,0.0,-0.53,0.0,0.0,-0.53,0.0
219096,딸기맛바(N)_미국 코스트코(반제품),1217.6,7029.2,12,5890.0,2.07,4.84,0.0,-0.54,0.0,0.0,-0.54,0.0
219097,E딸기맛바(N)(미국) 기본믹스,2.7,18.8,11,14.1,2.18,5.26,0.0,-0.51,0.0,0.0,-0.51,0.0
219114,E망고맛바_호주유럽(P) 기본믹스,2.4,21.6,10,0.0,-0.46,0.0,0.0,-0.46,0.0,0.0,-0.46,0.0
219126,E코코넛맛바 호주유럽(P)_기본믹스,1.9,18.6,9,0.0,-0.44,0.0,0.0,-0.44,0.0,0.0,-0.44,0.0
219146,E메로나 우베맛바_호주유럽(P) 믹스,1.4,16.1,8,0.0,-0.41,0.0,0.0,-0.41,0.0,0.0,-0.41,0.0
219148,쿠앤크 말차 기본믹스,0.2,8.0,1,0.0,-0.14,0.0,10.8,9.45,66.46,0.0,-0.14,0.0
219179,E메론맛바(통합) 기본믹스,1.9,18.4,10,0.0,-0.44,0.0,0.0,-0.44,0.0,0.0,-0.44,0.0
219180,E딸기맛바(통합) 기본믹스,0.9,20.6,3,0.0,-0.24,0.0,4.1,0.87,4.67,0.0,-0.24,0.0
219181,E망고맛바(통합) 기본믹스,0.7,20.5,3,0.0,-0.22,0.0,0.0,-0.22,0.0,0.0,-0.22,0.0
219184,E딸기맛바 호주유럽(P) 믹스,1.1,14.6,6,0.0,-0.34,0.0,0.0,-0.34,0.0,0.0,-0.34,0.0
219190,E피스타치오맛바(P) 기본믹스,0.2,6.9,2,0.0,-0.2,0.0,0.0,-0.2,0.0,0.0,-0.2,0.0
219215,E커피맛바 기본믹스,0.2,9.3,1,0.0,-0.14,0.0,0.0,-0.14,0.0,0.0,-0.14,0.0
220006,바나나맛우유믹스,36.7,83.0,29,83.0,1.45,2.26,0.0,-1.15,0.0,0.0,-1.15,0.0
220008,참맛초코믹스,4.6,20.3,14,10.5,0.79,2.29,0.0,-0.61,0.0,0.0,-0.61,0.0
220019,유산균배양액,0.1,3.0,1,0.0,-0.14,0.0,0.0,-0.14,0.0,0.0,-0.14,0.0
220022,쥬시쿨FINAL믹스,6.4,29.0,19,0.0,-0.71,0.0,15.0,0.96,2.35,0.0,-0.71,0.0
220051,바나나맛우유믹스(수출용),26.9,148.0,14,65.7,0.84,2.44,0.0,-0.58,0.0,0.0,-0.58,0.0
220114,쥬시쿨복숭아믹스,3.4,17.0,14,0.0,-0.62,0.0,10.3,1.28,3.05,0.0,-0.62,0.0
220133,딸기맛우유믹스(수출),15.8,129.0,11,0.0,-0.5,0.0,0.0,-0.5,0.0,0.0,-0.5,0.0
220140,메론맛우유믹스(수출),7.2,67.2,6,0.0,-0.36,0.0,0.0,-0.36,0.0,0.0,-0.36,0.0
220143,닥터바이오 펙틴(사과),4.7,10.0,28,0.0,-1.05,0.0,5.0,0.08,1.07,0.0,-1.05,0.0
220144,닥터바이오 믹스(사과),11.7,25.0,28,0.0,-1.05,0.0,12.5,0.08,1.07,0.0,-1.05,0.0
220171,바나나맛우유믹스(미국),9.7,81.3,8,64.9,2.35,6.66,0.0,-0.41,0.0,0.0,-0.41,0.0
223102,닥터바이오펙틴(플레인),1.2,5.0,12,5.0,1.76,4.08,0.0,-0.57,0.0,0.0,-0.57,0.0
223103,닥터바이오 믹스(플레인),3.1,12.6,12,12.5,1.75,4.08,0.0,-0.57,0.0,0.0,-0.57,0.0
223312,딸기맛우유믹스(미국),2.6,64.1,2,0.0,-0.21,0.0,0.0,-0.21,0.0,0.0,-0.21,0.0
223351,오늘의커피 카페라떼,3.3,24.1,8,21.1,2.35,6.43,0.0,-0.43,0.0,0.0,-0.43,0.0
223352,오늘의커피 바닐라라떼,4.0,24.1,10,0.0,-0.5,0.0,0.0,-0.5,0.0,0.0,-0.5,0.0
223354,바닐라맛우유믹스(수출용T/P),2.8,65.9,4,0.0,-0.26,0.0,23.7,1.93,8.39,0.0,-0.26,0.0
223394,커피맛우유믹스(미국),0.0,0.0,0,0.0,0.0,0.0,25.7,,,0.0,0.0,0.0
223518,춘식이커피 믹스,2.9,17.8,13,10.5,1.49,3.58,0.0,-0.58,0.0,0.0,-0.58,0.0
223521,딸기맛우유 B-grade 믹스,1.0,24.7,2,0.0,-0.21,0.0,0.0,-0.21,0.0,0.0,-0.21,0.0
223522,타로맛우유(수출용) 믹스,2.8,81.6,4,0.0,-0.23,0.0,0.0,-0.23,0.0,0.0,-0.23,0.0
223524,메로나맛우유믹스,6.0,24.9,14,0.0,-0.62,0.0,21.0,1.54,3.47,0.0,-0.62,0.0
223526,바이오 믹스 (포도),1.6,12.5,9,8.5,1.96,5.17,8.5,1.96,5.17,0.0,-0.47,0.0
223527,바이오 펙틴(포도),0.7,5.0,9,3.4,1.96,5.17,3.4,1.96,5.17,0.0,-0.47,0.0
223539,밤맛우유(수출용) 믹스,1.5,47.6,2,0.0,-0.2,0.0,0.0,-0.2,0.0,0.0,-0.2,0.0
223540,퇴근커피 카라멜라떼 믹스,4.5,45.1,7,0.0,-0.39,0.0,0.0,-0.39,0.0,0.0,-0.39,0.0
223541,출근커피 바닐라라떼 믹스,4.2,45.2,8,0.0,-0.39,0.0,0.0,-0.39,0.0,0.0,-0.39,0.0
223547,믹스-더단백 워터프로틴CUP 복숭아,0.1,3.0,1,0.0,-0.14,0.0,0.0,-0.14,0.0,0.0,-0.14,0.0
223549,990초코믹스,4.5,21.5,13,17.0,1.65,3.8,0.0,-0.59,0.0,0.0,-0.59,0.0
223561,맛점커피 바나나라떼 믹스,2.1,45.5,4,0.0,-0.27,0.0,0.0,-0.27,0.0,0.0,-0.27,0.0
223562,오늘의커피 연유라떼 믹스,1.2,22.8,3,0.0,-0.25,0.0,0.0,-0.25,0.0,0.0,-0.25,0.0
223573,믹스-빙그레 제로 아이스티 복숭아,0.6,5.0,7,0.0,-0.41,0.0,0.0,-0.41,0.0,0.0,-0.41,0.0
223574,믹스-빙그레 제로 아이스티 샤인머스캣,0.5,5.0,6,0.0,-0.37,0.0,0.0,-0.37,0.0,0.0,-0.37,0.0
223579,더단백드링크 초코믹스,13.4,34.3,30,0.0,-1.04,0.0,0.0,-1.04,0.0,0.0,-1.04,0.0
223582,믹스-쥬시쿨 에이드 금귤&감귤,0.6,18.4,2,0.0,-0.2,0.0,0.0,-0.2,0.0,0.0,-0.2,0.0
223583,믹스-쥬시쿨 에이드 사과,0.4,10.4,2,0.0,-0.2,0.0,0.0,-0.2,0.0,0.0,-0.2,0.0
223584,더단백드링크 민트초코 믹스,0.9,24.5,2,34.3,7.61,38.11,0.0,-0.2,0.0,0.0,-0.2,0.0
223585,포비 광화문라떼 믹스,1.4,26.1,4,15.0,2.81,10.95,0.0,-0.28,0.0,0.0,-0.28,0.0
223586,포비 플랫화이트 믹스,0.0,0.0,0,0.0,0.0,0.0,13.0,,,0.0,0.0,0.0
223587,,0.2,11.0,1,0.0,-0.14,0.0,0.0,-0.14,0.0,0.0,-0.14,0.0
