recommendation_rank,plant,target,target_col,item_code,item_name,unit,source_plants,nonzero_days,coverage,pearson_corr,spearman_corr,mix_adjusted_corr,abs_mix_adjusted_corr,activity_mean_when_nonzero,activity_p95,signal_level,candidate_level
1,남양주1,전력,전력량[kWh],210376,(품)비비빅믹스,BT,"남양주1,남양주2,논산",554,0.6739659367396593,0.5073410977470454,0.47278983720708057,0.4782413092281567,0.4782413092281567,9.453068592057761,16.0,Strong,High
2,남양주1,전력,전력량[kWh],210405,V메로나믹스,BT,"남양주1,남양주2,김해,논산",573,0.6970802919708029,0.46634983530337304,0.42961124392702055,0.4357477366647192,0.4357477366647192,14.015706806282722,22.0,Strong,High
3,남양주1,전력,전력량[kWh],250071,더위사냥 커피 믹스 B,BT,"남양주1,남양주2,김해",374,0.45498783454987834,0.26600742453132237,0.26182485850019316,0.2566834457031035,0.2566834457031035,12.83957219251337,24.0,Moderate,Medium
4,남양주1,전력,전력량[kWh],220129,요플레 오리지널 믹스,BT,광주,386,0.46958637469586373,0.27885821672319344,0.3394811507791024,0.20398485880158615,0.20398485880158615,34.94818652849741,56.0,Moderate,Medium
5,남양주1,전력,전력량[kWh],219144,(품명 미확인),-,,58,0.0705596107055961,0.1675495680833761,0.13497362960935178,0.1998197090690094,0.1998197090690094,9.862068965517242,16.15,Weak,Watch
1,남양주1,연료,연료량[N㎥],210376,(품)비비빅믹스,BT,"남양주1,남양주2,논산",554,0.6739659367396593,-0.5931167938266645,-0.6117395986500044,-0.5843603592206837,0.5843603592206837,9.453068592057761,16.0,Strong,High
2,남양주1,연료,연료량[N㎥],210405,V메로나믹스,BT,"남양주1,남양주2,김해,논산",573,0.6970802919708029,-0.48676550021359355,-0.5059208643680471,-0.47540122824043646,0.47540122824043646,14.015706806282722,22.0,Strong,High
3,남양주1,연료,연료량[N㎥],210198,요맘때 발효믹스,BT,"남양주1,남양주2,김해,논산",450,0.5474452554744526,-0.3136552395488959,-0.3186243891156416,-0.3191946167643961,0.3191946167643961,5.388888888888889,8.549999999999955,Moderate,Medium
4,남양주1,연료,연료량[N㎥],250071,더위사냥 커피 믹스 B,BT,"남양주1,남양주2,김해",374,0.45498783454987834,-0.3004094204805451,-0.3264811035993683,-0.29385436211093685,0.29385436211093685,12.83957219251337,24.0,Moderate,Medium
5,남양주1,연료,연료량[N㎥],223533,(품명 미확인),-,,49,0.05961070559610705,0.245390751455362,0.2563804796064848,0.25503021285055466,0.25503021285055466,16.79591836734694,21.0,Moderate,Watch
1,남양주1,용수,용수량[ton],220129,요플레 오리지널 믹스,BT,광주,386,0.46958637469586373,0.38321286983881925,0.40730385516957895,0.3105546010026898,0.3105546010026898,34.94818652849741,56.0,Moderate,Medium
2,남양주1,용수,용수량[ton],220184,시유믹스,BT,"남양주1,남양주2",761,0.9257907542579076,0.45750737445781636,0.5034668960961981,0.2826837852700753,0.2826837852700753,31.11563731931669,54.0,Moderate,Medium
3,남양주1,용수,용수량[ton],223543,무가당 바나나맛우유 믹스,BT,"남양주1,남양주2",194,0.2360097323600973,-0.30267968164462017,-0.32665226447136336,-0.22894061770183172,0.22894061770183172,25.288659793814432,42.0,Moderate,Medium
4,남양주1,용수,용수량[ton],210376,(품)비비빅믹스,BT,"남양주1,남양주2,논산",554,0.6739659367396593,-0.10366255949275689,-0.12484544534990359,-0.22538956058841916,0.22538956058841916,9.453068592057761,16.0,Moderate,Medium
5,남양주1,용수,용수량[ton],223568,대용량우유 믹스,BT,"남양주1,남양주2",96,0.11678832116788321,-0.22029578909837344,-0.23922014322085092,-0.21365647862010667,0.21365647862010667,9.458333333333334,17.0,Moderate,Medium
1,남양주2,전력,전력량[kWh],210376,(품)비비빅믹스,BT,"남양주1,남양주2,논산",554,0.6739659367396593,0.6760939069510148,0.6796599575258422,0.2665161981338742,0.2665161981338742,9.453068592057761,16.0,Moderate,Medium
2,남양주2,전력,전력량[kWh],220129,요플레 오리지널 믹스,BT,광주,386,0.46958637469586373,0.11517534348472422,0.13582528191148477,0.24075904327543388,0.24075904327543388,34.94818652849741,56.0,Moderate,Medium
3,남양주2,전력,전력량[kWh],260015,농축유,KG,"남양주1,남양주2,김해",492,0.5985401459854015,0.10778511513145488,0.11992399067951191,-0.23884188825390887,0.23884188825390887,13417.174796747968,21153.8,Moderate,Medium
4,남양주2,전력,전력량[kWh],220114,쥬시쿨복숭아믹스,BT,"남양주1,남양주2,김해",502,0.610705596107056,0.018704317858246607,0.05806971730671141,0.23216729163796415,0.23216729163796415,28.37051792828685,41.0,Moderate,Medium
5,남양주2,전력,전력량[kWh],210198,요맘때 발효믹스,BT,"남양주1,남양주2,김해,논산",450,0.5474452554744526,0.3321250101497305,0.3319565883624826,0.2158686380928434,0.2158686380928434,5.388888888888889,8.549999999999955,Moderate,Medium
1,남양주2,연료,연료량[N㎥],220007,참맛딸기믹스,BT,"남양주1,남양주2",579,0.7043795620437956,-0.13463702593009402,-0.1021923038567482,-0.3009091044005936,0.3009091044005936,14.525043177892918,17.0,Moderate,Medium
2,남양주2,연료,연료량[N㎥],220006,바나나맛우유믹스,BT,"남양주1,남양주2,김해,논산",822,1.0,-0.05930445629963887,-0.0682119158793641,-0.19978806298944546,0.19978806298944546,98.82116788321167,133.0,Weak,Watch
3,남양주2,연료,연료량[N㎥],223558,요플레 오리지널 믹스 (R),BT,"남양주1,남양주2",265,0.3223844282238443,0.1370910436487778,0.12079686401375168,0.19673981251641334,0.19673981251641334,29.369811320754717,55.0,Weak,Watch
4,남양주2,연료,연료량[N㎥],210417,C투대 클래식 기본믹스,BT,"남양주1,남양주2,김해",560,0.681265206812652,0.2813578307093903,0.27902557851152515,0.18786010424599528,0.18786010424599528,9.555357142857142,16.0,Weak,Watch
5,남양주2,연료,연료량[N㎥],222051,바나나맛우유(반제품),CS,"남양주1,남양주2",759,0.9233576642335767,0.22114463204376664,0.19356650847966242,0.1763469862289599,0.1763469862289599,777.9209486166008,1440.0,Weak,Watch
1,남양주2,용수,용수량[ton],220007,참맛딸기믹스,BT,"남양주1,남양주2",579,0.7043795620437956,0.014358048520112148,0.037390252257488564,-0.1954280303713454,0.1954280303713454,14.525043177892918,17.0,Weak,Watch
2,남양주2,용수,용수량[ton],223271,요플레 그릭 마일드 믹스,BT,"남양주1,남양주2",311,0.37834549878345497,0.07063456616878447,0.06745934317462389,0.15394412297706547,0.15394412297706547,12.90032154340836,31.0,Weak,Watch
3,남양주2,용수,용수량[ton],220129,요플레 오리지널 믹스,BT,광주,386,0.46958637469586373,0.09645461901416538,0.15037317154969682,0.14046914664002594,0.14046914664002594,34.94818652849741,56.0,Weak,Low
4,남양주2,용수,용수량[ton],210405,V메로나믹스,BT,"남양주1,남양주2,김해,논산",573,0.6970802919708029,0.5245802724077118,0.6313006254944085,0.13688743932339167,0.13688743932339167,14.015706806282722,22.0,Weak,Low
5,남양주2,용수,용수량[ton],223558,요플레 오리지널 믹스 (R),BT,"남양주1,남양주2",265,0.3223844282238443,0.04247376371984983,0.03875136333326669,0.1153849650005195,0.1153849650005195,29.369811320754717,55.0,Weak,Low
1,김해,전력,전력량[kWh],250071,더위사냥 커피 믹스 B,BT,"남양주1,남양주2,김해",120,0.145985401459854,0.3612682647211683,0.33517658154068286,0.42889260288168785,0.42889260288168785,13.191666666666666,28.0,Strong,Medium
2,김해,전력,전력량[kWh],210405,V메로나믹스,BT,"남양주1,남양주2,김해,논산",140,0.170316301703163,0.3454344101615949,0.36207791022234476,0.397498860648559,0.397498860648559,13.964285714285714,27.0,Strong,High
3,김해,전력,전력량[kWh],210376,(품)비비빅믹스,BT,"남양주1,남양주2,논산",72,0.08759124087591241,0.30056110194488067,0.2767268033323615,0.36066926842087843,0.36066926842087843,8.805555555555555,13.0,Strong,Watch
4,김해,전력,전력량[kWh],223510,(품명 미확인),-,,124,0.15085158150851583,-0.10966855224385416,-0.12440580996974723,-0.1690787794480305,0.1690787794480305,9.67741935483871,12.0,Weak,Watch
5,김해,전력,전력량[kWh],223518,춘식이커피 믹스,BT,김해,330,0.40145985401459855,0.07393094347609891,0.07965534069357456,-0.15970211586968722,0.15970211586968722,12.887878787878789,18.0,Weak,Watch
1,김해,연료,연료량[N㎥],260015,농축유,KG,"남양주1,남양주2,김해",271,0.32968369829683697,0.4407113777498638,0.4229741097848748,0.5179139289660358,0.5179139289660358,8328.91143911439,10126.0,Strong,High
2,김해,연료,연료량[N㎥],219097,E딸기맛바(N)(미국) 기본믹스,BT,김해,131,0.15936739659367397,0.3140661996711016,0.33184414638181453,0.28269877495583984,0.28269877495583984,12.511450381679388,21.0,Moderate,Medium
3,김해,연료,연료량[N㎥],219096,딸기맛바(N)_미국 코스트코(반제품),Box,김해,130,0.15815085158150852,0.38047598662931637,0.3541624969094147,0.2825468165485563,0.2825468165485563,5288.961538461538,7863.25,Moderate,Medium
4,김해,연료,연료량[N㎥],220008,참맛초코믹스,BT,김해,342,0.41605839416058393,-0.03823722189247713,-0.006935786122190481,-0.27347379216872897,0.27347379216872897,28.318713450292396,46.0,Moderate,Medium
5,김해,연료,연료량[N㎥],223509,(품명 미확인),-,,76,0.09245742092457421,-0.15536627993400573,-0.16783909825166182,-0.25529552002323636,0.25529552002323636,11.657894736842104,15.0,Moderate,Watch
1,김해,용수,용수량[ton],223518,춘식이커피 믹스,BT,김해,330,0.40145985401459855,0.11137834293581123,0.09865483648476821,-0.2730519664254921,0.2730519664254921,12.887878787878789,18.0,Moderate,Medium
2,김해,용수,용수량[ton],210376,(품)비비빅믹스,BT,"남양주1,남양주2,논산",72,0.08759124087591241,0.15313594273153477,0.13620828666145665,0.2265861486491662,0.2265861486491662,8.805555555555555,13.0,Moderate,Watch
3,김해,용수,용수량[ton],260015,농축유,KG,"남양주1,남양주2,김해",271,0.32968369829683697,0.16668476723906056,0.17523118947560823,0.21446850739127202,0.21446850739127202,8328.91143911439,10126.0,Moderate,Medium
4,김해,용수,용수량[ton],220022,쥬시쿨FINAL믹스,BT,"남양주1,남양주2,김해",475,0.5778588807785888,-0.01327914330788003,-0.009564239318306475,0.20658256744926276,0.20658256744926276,19.89263157894737,30.0,Moderate,Medium
5,김해,용수,용수량[ton],220019,유산균배양액,BT,"남양주1,남양주2,김해",114,0.1386861313868613,0.17790005156612815,0.18156541831092637,0.1803451830860737,0.1803451830860737,3.0,3.0,Weak,Watch
1,광주,전력,전력량[kWh],260014,탈지분유,KG,광주,463,0.5632603406326034,0.012249615332905042,0.008627071071858847,-0.11709634261157127,0.11709634261157127,6867.883369330453,9500.0,Weak,Low
2,광주,전력,전력량[kWh],260016,생크림(냉동),KG,"남양주1,남양주2,광주",428,0.5206812652068127,0.007280872059124771,-0.014512419000438675,-0.10376011733718059,0.10376011733718059,6748.457943925234,13258.999999999998,Weak,Low
3,광주,전력,전력량[kWh],260039,살균유,KG,"남양주1,남양주2,광주",363,0.4416058394160584,0.01864876977280774,0.041577993267868554,0.045540336279637154,0.045540336279637154,18544.297520661155,44107.0,Weak,Low
4,광주,전력,전력량[kWh],260042,유크림믹스,KG,"남양주1,남양주2,광주",369,0.4489051094890511,0.09328005978082841,0.11348290043893768,-0.01827297514674021,0.01827297514674021,8738.211382113821,13406.0,Weak,Low
1,광주,연료,연료량[N㎥],260014,탈지분유,KG,광주,463,0.5632603406326034,0.6229502837501117,0.7577233671185482,0.5416082945233688,0.5416082945233688,6867.883369330453,9500.0,Strong,High
2,광주,연료,연료량[N㎥],260042,유크림믹스,KG,"남양주1,남양주2,광주",369,0.4489051094890511,0.5428600473539441,0.5530310523354995,0.45001650735475807,0.45001650735475807,8738.211382113821,13406.0,Strong,High
3,광주,연료,연료량[N㎥],260016,생크림(냉동),KG,"남양주1,남양주2,광주",428,0.5206812652068127,0.44322410413563146,0.6238510151424783,0.34078360146754955,0.34078360146754955,6748.457943925234,13258.999999999998,Moderate,Medium
4,광주,연료,연료량[N㎥],260039,살균유,KG,"남양주1,남양주2,광주",363,0.4416058394160584,-0.0768905579178377,-0.08036671611709152,-0.04247012394626461,0.04247012394626461,18544.297520661155,44107.0,Weak,Low
1,광주,용수,용수량[ton],260014,탈지분유,KG,광주,463,0.5632603406326034,0.5298698260367711,0.6687013008657868,0.424065897914635,0.424065897914635,6867.883369330453,9500.0,Strong,High
2,광주,용수,용수량[ton],260042,유크림믹스,KG,"남양주1,남양주2,광주",369,0.4489051094890511,0.48944778132475547,0.5045600539610571,0.3826537775313508,0.3826537775313508,8738.211382113821,13406.0,Strong,High
3,광주,용수,용수량[ton],260016,생크림(냉동),KG,"남양주1,남양주2,광주",428,0.5206812652068127,0.40617321227862924,0.5628267961553561,0.29411773219156395,0.29411773219156395,6748.457943925234,13258.999999999998,Moderate,Medium
4,광주,용수,용수량[ton],260039,살균유,KG,"남양주1,남양주2,광주",363,0.4416058394160584,-0.028588124345219987,-0.013461778406433722,0.014348529576599392,0.014348529576599392,18544.297520661155,44107.0,Weak,Low
1,논산,전력,전력량[kWh],220059,빙그레딸기맛우유믹스,BT,논산,662,0.805352798053528,0.08412992796297111,0.07055290415125151,-0.3886078772465094,0.3886078772465094,40.08761329305136,74.0,Strong,High
2,논산,전력,전력량[kWh],210376,(품)비비빅믹스,BT,"남양주1,남양주2,논산",306,0.3722627737226277,0.5042904653405241,0.5135182715694254,0.33519228010328317,0.33519228010328317,9.558823529411764,22.0,Moderate,Medium
3,논산,전력,전력량[kWh],222053,딸기맛우유(반제품),CS,논산,644,0.7834549878345499,0.11119099971710812,0.11248902963320107,-0.2679760685876891,0.2679760685876891,932.6350931677018,1560.0,Moderate,Medium
4,논산,전력,전력량[kWh],210304,참붕어싸만코(수출용)믹스,BT,"김해,논산",45,0.05474452554744526,-0.16696555701918647,-0.20412504022721656,-0.20037771625167858,0.20037771625167858,5.733333333333333,8.799999999999997,Moderate,Watch
5,논산,전력,전력량[kWh],210474,요맘때 플레인바 믹스,BT,"남양주1,남양주2",95,0.11557177615571776,0.16497062397076095,0.1479175215407027,0.17017996883265404,0.17017996883265404,6.378947368421053,11.0,Weak,Watch
1,논산,연료,연료량[N㎥],210508,엑설런트 클래식(V)믹스R,BT,논산,542,0.6593673965936739,0.44047839216118784,0.4611608652496771,0.3487406804819915,0.3487406804819915,2.2140221402214024,3.0,Moderate,Medium
2,논산,연료,연료량[N㎥],210198,요맘때 발효믹스,BT,"남양주1,남양주2,김해,논산",232,0.2822384428223844,0.3604543726831925,0.41146403781123986,0.3370695651576939,0.3370695651576939,4.814655172413793,7.0,Moderate,Medium
3,논산,연료,연료량[N㎥],220142,바나나맛우유믹스(중국),BT,논산,309,0.3759124087591241,0.26140084775854505,0.2734272847250903,0.2996841730519495,0.2996841730519495,10.372168284789645,18.0,Moderate,Medium
4,논산,연료,연료량[N㎥],219158,요맘때바 블루베리 믹스,BT,논산,55,0.06690997566909976,0.20786809030260278,0.22851440777370555,0.21367513560758788,0.21367513560758788,7.381818181818182,13.0,Moderate,Watch
5,논산,연료,연료량[N㎥],210533,투게더 밀크믹스,BT,논산,143,0.17396593673965938,0.21255737299739993,0.23118368779448356,0.20602856558382635,0.20602856558382635,4.174825174825175,6.0,Moderate,Medium
1,논산,용수,용수량[ton],220142,바나나맛우유믹스(중국),BT,논산,309,0.3759124087591241,0.1763594578979574,0.13500072914663444,0.21103858869570954,0.21103858869570954,10.372168284789645,18.0,Moderate,Medium
2,논산,용수,용수량[ton],219158,요맘때바 블루베리 믹스,BT,논산,55,0.06690997566909976,0.1832264363992473,0.2000183327759747,0.19681519790499907,0.19681519790499907,7.381818181818182,13.0,Weak,Watch
3,논산,용수,용수량[ton],210198,요맘때 발효믹스,BT,"남양주1,남양주2,김해,논산",232,0.2822384428223844,0.23266942531232587,0.23791803941233228,0.17219757207674755,0.17219757207674755,4.814655172413793,7.0,Weak,Watch
4,논산,용수,용수량[ton],210371,(품)까페오레 믹스,BT,논산,164,0.19951338199513383,0.20344043555754138,0.18128429164838772,0.12762052130942583,0.12762052130942583,4.713414634146342,8.0,Weak,Low
5,논산,용수,용수량[ton],210304,참붕어싸만코(수출용)믹스,BT,"김해,논산",45,0.05474452554744526,0.02420473364501569,0.017939621832267733,0.12067326303012724,0.12067326303012724,5.733333333333333,8.799999999999997,Weak,Low
