plant,item_code,item_name,unit,targets,best_candidate_level,mean_abs_mix_adjusted_corr,max_abs_mix_adjusted_corr,min_recommendation_rank
남양주1,210376,(품)비비빅믹스,BT,"연료, 용수, 전력",High,0.4293304096790866,0.5843603592206837,1
남양주1,220129,요플레 오리지널 믹스,BT,"용수, 전력",Medium,0.257269729902138,0.3105546010026898,1
남양주1,210405,V메로나믹스,BT,"연료, 전력",High,0.4555744824525778,0.47540122824043646,2
남양주1,220184,시유믹스,BT,용수,Medium,0.2826837852700753,0.2826837852700753,2
남양주1,210198,요맘때 발효믹스,BT,연료,Medium,0.3191946167643961,0.3191946167643961,3
남양주1,250071,더위사냥 커피 믹스 B,BT,"연료, 전력",Medium,0.2752689039070202,0.29385436211093685,3
남양주1,223543,무가당 바나나맛우유 믹스,BT,용수,Medium,0.22894061770183172,0.22894061770183172,3
남양주1,223533,(품명 미확인),-,연료,Watch,0.25503021285055466,0.25503021285055466,5
남양주1,223568,대용량우유 믹스,BT,용수,Medium,0.21365647862010667,0.21365647862010667,5
남양주1,219144,(품명 미확인),-,전력,Watch,0.1998197090690094,0.1998197090690094,5
남양주2,220007,참맛딸기믹스,BT,"연료, 용수",Medium,0.24816856738596949,0.3009091044005936,1
남양주2,210376,(품)비비빅믹스,BT,전력,Medium,0.2665161981338742,0.2665161981338742,1
남양주2,220129,요플레 오리지널 믹스,BT,"용수, 전력",Medium,0.1906140949577299,0.24075904327543388,2
남양주2,220006,바나나맛우유믹스,BT,연료,Watch,0.19978806298944546,0.19978806298944546,2
남양주2,223271,요플레 그릭 마일드 믹스,BT,용수,Watch,0.15394412297706547,0.15394412297706547,2
남양주2,260015,농축유,KG,전력,Medium,0.23884188825390887,0.23884188825390887,3
남양주2,223558,요플레 오리지널 믹스 (R),BT,"연료, 용수",Watch,0.15606238875846642,0.19673981251641334,3
남양주2,220114,쥬시쿨복숭아믹스,BT,전력,Medium,0.23216729163796415,0.23216729163796415,4
남양주2,210417,C투대 클래식 기본믹스,BT,연료,Watch,0.18786010424599528,0.18786010424599528,4
남양주2,210405,V메로나믹스,BT,용수,Low,0.13688743932339167,0.13688743932339167,4
남양주2,210198,요맘때 발효믹스,BT,전력,Medium,0.2158686380928434,0.2158686380928434,5
남양주2,222051,바나나맛우유(반제품),CS,연료,Watch,0.1763469862289599,0.1763469862289599,5
김해,260015,농축유,KG,"연료, 용수",High,0.3661912181786539,0.5179139289660358,1
김해,250071,더위사냥 커피 믹스 B,BT,전력,Medium,0.42889260288168785,0.42889260288168785,1
김해,223518,춘식이커피 믹스,BT,"용수, 전력",Medium,0.21637704114758965,0.2730519664254921,1
김해,210405,V메로나믹스,BT,전력,High,0.397498860648559,0.397498860648559,2
김해,210376,(품)비비빅믹스,BT,"용수, 전력",Watch,0.2936277085350223,0.36066926842087843,2
김해,219097,E딸기맛바(N)(미국) 기본믹스,BT,연료,Medium,0.28269877495583984,0.28269877495583984,2
김해,219096,딸기맛바(N)_미국 코스트코(반제품),Box,연료,Medium,0.2825468165485563,0.2825468165485563,3
김해,220008,참맛초코믹스,BT,연료,Medium,0.27347379216872897,0.27347379216872897,4
김해,220022,쥬시쿨FINAL믹스,BT,용수,Medium,0.20658256744926276,0.20658256744926276,4
김해,223510,(품명 미확인),-,전력,Watch,0.1690787794480305,0.1690787794480305,4
김해,223509,(품명 미확인),-,연료,Watch,0.25529552002323636,0.25529552002323636,5
김해,220019,유산균배양액,BT,용수,Watch,0.1803451830860737,0.1803451830860737,5
광주,260014,탈지분유,KG,"연료, 용수, 전력",High,0.3609235116831917,0.5416082945233688,1
광주,260042,유크림믹스,KG,"연료, 용수, 전력",High,0.283647753344283,0.45001650735475807,2
광주,260016,생크림(냉동),KG,"연료, 용수, 전력",Medium,0.24622048366543137,0.34078360146754955,2
광주,260039,살균유,KG,"연료, 용수, 전력",Low,0.034119663267500384,0.045540336279637154,3
논산,220059,빙그레딸기맛우유믹스,BT,전력,High,0.3886078772465094,0.3886078772465094,1
논산,210508,엑설런트 클래식(V)믹스R,BT,연료,Medium,0.3487406804819915,0.3487406804819915,1
논산,220142,바나나맛우유믹스(중국),BT,"연료, 용수",Medium,0.25536138087382954,0.2996841730519495,1
논산,210198,요맘때 발효믹스,BT,"연료, 용수",Medium,0.2546335686172207,0.3370695651576939,2
논산,210376,(품)비비빅믹스,BT,전력,Medium,0.33519228010328317,0.33519228010328317,2
논산,219158,요맘때바 블루베리 믹스,BT,"연료, 용수",Watch,0.20524516675629348,0.21367513560758788,2
논산,222053,딸기맛우유(반제품),CS,전력,Medium,0.2679760685876891,0.2679760685876891,3
논산,210304,참붕어싸만코(수출용)믹스,BT,"용수, 전력",Watch,0.1605254896409029,0.20037771625167858,4
논산,210371,(품)까페오레 믹스,BT,용수,Low,0.12762052130942583,0.12762052130942583,4
논산,210533,투게더 밀크믹스,BT,연료,Medium,0.20602856558382635,0.20602856558382635,5
논산,210474,요맘때 플레인바 믹스,BT,전력,Watch,0.17017996883265404,0.17017996883265404,5
