iter	Passed	Remaining
0	3	10069
1	6	9901
2	9	9688
3	12	9495
4	15	9256
5	18	9108
6	20	8969
7	24	9027
8	27	9030
9	30	9029
10	33	8991
11	36	9021
12	39	8973
13	42	8973
14	45	9045
15	48	9055
16	51	9083
17	54	9068
18	57	9023
19	60	8967
20	62	8811
21	65	8845
22	68	8854
23	71	8897
24	74	8901
25	78	8926
26	81	8976
27	84	8999
28	87	8989
29	90	8959
30	93	8959
31	97	8997
32	100	9021
33	103	9020
34	106	9036
35	110	9108
36	114	9131
37	117	9149
38	121	9204
39	125	9281
40	129	9326
41	132	9338
42	135	9347
43	140	9412
44	143	9449
45	147	9444
46	150	9461
47	154	9519
48	157	9502
49	160	9455
50	163	9452
51	167	9491
52	171	9537
53	175	9547
54	178	9554
55	182	9606
56	185	9596
57	189	9600
58	192	9603
59	196	9628
60	200	9641
61	203	9626
62	206	9611
63	209	9613
64	212	9592
65	215	9589
66	218	9586
67	221	9567
68	225	9596
69	229	9590
70	232	9585
71	235	9576
72	238	9579
73	241	9563
74	245	9556
75	248	9545
76	251	9543
77	254	9536
78	257	9523
79	260	9506
80	263	9487
81	265	9455
82	268	9419
83	270	9393
84	273	9382
85	275	9340
86	277	9306
87	280	9269
88	282	9246
89	285	9230
90	288	9228
91	291	9211
92	294	9210
93	297	9210
94	300	9198
95	303	9189
96	306	9185
97	309	9170
98	312	9159
99	315	9147
100	318	9149
101	321	9143
102	324	9133
103	327	9123
104	331	9126
105	334	9123
106	337	9111
107	340	9104
108	343	9101
109	346	9091
110	348	9081
111	351	9070
112	354	9063
113	357	9056
114	361	9060
115	364	9063
116	367	9059
117	370	9056
118	373	9053
119	376	9044
120	379	9038
121	382	9030
122	385	9025
123	389	9029
124	392	9026
125	395	9021
126	398	9012
127	402	9024
128	405	9028
129	409	9035
130	412	9035
131	415	9033
132	419	9049
133	423	9047
134	426	9048
135	430	9055
136	433	9059
137	436	9049
138	438	9035
139	442	9033
140	444	9018
141	448	9019
142	451	9016
143	454	9009
144	457	8999
145	459	8991
146	463	8996
147	466	8991
148	469	8987
149	472	8977
150	475	8974
151	479	8977
152	482	8970
153	485	8974
154	488	8969
155	492	8973
156	495	8974
157	498	8973
158	502	8978
159	506	8989
160	509	8982
161	512	8981
162	515	8973
163	519	8983
164	522	8979
165	525	8974
166	528	8965
167	531	8957
168	534	8957
169	537	8953
170	540	8943
171	543	8939
172	547	8944
173	550	8939
174	553	8938
175	557	8938
176	560	8935
177	563	8932
178	566	8931
179	570	8934
180	573	8932
181	577	8939
182	580	8939
183	584	8941
184	587	8942
185	591	8943
186	594	8938
187	597	8932
188	600	8928
189	602	8910
190	605	8905
191	608	8898
192	611	8891
193	614	8884
194	617	8881
195	620	8875
196	623	8868
197	626	8866
198	629	8865
199	632	8860
200	636	8857
201	638	8850
202	642	8846
203	645	8843
204	648	8838
205	651	8835
206	654	8829
207	657	8822
208	660	8822
209	664	8822
210	667	8816
211	669	8809
212	673	8806
213	676	8803
214	679	8802
215	682	8794
216	685	8787
217	688	8787
218	691	8782
219	694	8778
220	697	8776
221	701	8773
222	704	8770
223	707	8765
224	710	8759
225	712	8751
226	716	8748
227	718	8741
228	722	8737
229	725	8732
230	728	8726
231	731	8727
232	734	8725
233	738	8724
234	741	8718
235	743	8712
236	747	8717
237	750	8714
238	753	8710
239	756	8702
240	759	8698
241	762	8694
242	765	8687
243	768	8679
244	771	8674
245	774	8673
246	777	8667
247	780	8662
248	783	8658
249	786	8652
250	790	8652
251	793	8649
252	796	8647
253	799	8641
254	802	8637
255	805	8632
256	808	8628
257	811	8623
258	814	8616
259	816	8608
260	820	8608
261	823	8602
262	825	8594
263	828	8589
264	832	8587
265	835	8585
266	838	8582
267	841	8578
268	844	8572
269	847	8567
270	850	8563
271	853	8560
272	856	8554
273	859	8551
274	862	8548
275	865	8541
276	868	8533
277	871	8530
278	874	8526
279	877	8520
280	880	8516
281	883	8512
282	886	8509
283	889	8504
284	892	8502
285	896	8503
286	899	8501
287	902	8498
288	905	8497
289	908	8494
290	912	8491
291	915	8494
292	918	8489
293	922	8491
294	927	8500
295	930	8501
296	935	8512
297	939	8518
298	943	8523
299	946	8517
300	949	8515
301	952	8511
302	955	8508
303	959	8510
304	963	8516
305	966	8510
306	969	8505
307	973	8504
308	976	8503
309	979	8497
310	982	8496
311	986	8495
312	989	8498
313	994	8504
314	997	8500
315	1000	8498
316	1003	8495
317	1007	8499
318	1010	8493
319	1014	8497
320	1018	8496
321	1021	8492
322	1024	8488
323	1027	8482
324	1029	8475
325	1032	8466
326	1035	8463
327	1038	8459
328	1041	8456
329	1044	8450
330	1046	8442
331	1050	8439
332	1053	8433
333	1055	8426
334	1058	8418
335	1060	8411
336	1064	8412
337	1067	8410
338	1070	8405
339	1073	8398
340	1076	8391
341	1079	8388
342	1082	8382
343	1084	8375
344	1087	8370
345	1090	8363
346	1093	8361
347	1096	8354
348	1099	8348
349	1101	8342
350	1104	8338
351	1108	8335
352	1110	8328
353	1113	8322
354	1116	8316
355	1119	8312
356	1122	8309
357	1125	8304
358	1128	8302
359	1131	8298
360	1134	8295
361	1138	8297
362	1142	8296
363	1145	8294
364	1148	8291
365	1151	8289
366	1154	8285
367	1158	8283
368	1161	8279
369	1163	8272
370	1167	8271
371	1170	8269
372	1173	8266
373	1176	8261
374	1179	8259
375	1183	8257
376	1185	8251
377	1189	8247
378	1191	8242
379	1195	8241
380	1198	8237
381	1201	8234
382	1204	8231
383	1207	8227
384	1211	8226
385	1213	8220
386	1216	8215
387	1219	8212
388	1223	8211
389	1226	8206
390	1229	8201
391	1232	8197
392	1234	8191
393	1238	8191
394	1240	8183
395	1243	8179
396	1246	8175
397	1249	8170
398	1253	8170
399	1256	8167
400	1259	8162
401	1262	8159
402	1266	8160
403	1269	8157
404	1272	8153
405	1275	8149
406	1279	8153
407	1282	8148
408	1285	8146
409	1289	8144
410	1292	8143
411	1297	8149
412	1300	8146
413	1303	8143
414	1307	8141
415	1310	8140
416	1313	8137
417	1316	8132
418	1318	8123
419	1322	8126
420	1325	8120
421	1328	8115
422	1331	8111
423	1334	8104
424	1337	8103
425	1341	8102
426	1344	8099
427	1347	8096
428	1350	8092
429	1354	8097
430	1357	8092
431	1360	8088
432	1363	8085
433	1367	8088
434	1371	8087
435	1374	8084
436	1378	8083
437	1382	8084
438	1385	8083
439	1388	8078
440	1391	8073
441	1394	8069
442	1397	8065
443	1400	8062
