MIS 마우스 좌클릭 좌표 기록 — 시작 2026-05-14 10:36:50.747199
창 좌상단: (-8, -8)  크기: 1936x1048
더블클릭 임계값: 0.3s, 5px
======================================================================
[01] 10:36:56.268  abs(  194,   186)  rel(  202,   194)  [DBL]
[02] 10:37:00.172  abs(  414,   120)  rel(  422,   128)
[03] 10:37:03.161  abs(  415,   179)  rel(  423,   187)
[04] 10:37:09.045  abs(  601,   100)  rel(  609,   108)
[05] 10:37:11.143  abs(  601,   122)  rel(  609,   130)
[06] 10:37:13.381  abs(  795,    97)  rel(  803,   105)
[07] 10:37:16.130  abs(  800,   157)  rel(  808,   165)
[08] 10:37:19.788  abs( 1193,   100)  rel( 1201,   108)
[09] 10:37:22.051  abs( 1195,   194)  rel( 1203,   202)
[10] 10:37:25.187  abs(  329,    66)  rel(  337,    74)
[11] 10:37:30.300  abs(  326,   182)  rel(  334,   190)
[12] 10:37:35.558  abs( 1060,   630)  rel( 1068,   638)
[13] 10:37:41.391  abs( 3027,   410)  rel( 3035,   418)  [외부]

총 13회 클릭 — 종료 2026-05-14 10:37:41.653502
